Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,,,,,,,,,
9/27/99,U Hla Han,Male,Myanmar,Kyemon,Burma,Print,Print Reporter,Corruption,No,Local,Military Officials,Dangerous Assignment,,Yes,No,"Yes",,,,,,,,,
10/2/99,U Tha Win,Male,Myanmar,Kyemon,Burma,Print,Print Reporter,Corruption,No,Local,Military Officials,Dangerous Assignment,,Yes,No,"Yes",,,,,,,,,
10/10/99,N.A. Lalruhlu,,India,Shan,,,,,,,,,,,,"",,,,,,,,,
10/21/99,Rodolfo Julio Torres,Male,Colombia,Emisora Fuentes,Colombia,Radio,Broadcast,"Crime, Politics",No,Local,Paramilitary Group,Murder,Yes,Yes,Yes,"No",,,,,,,,,
10/21/99,Ahmet Taner Kislali,Male,Turkey,Cumhuriyet,Turkey,Print,Columnist,Politics,No,Local,Political Group,Murder,Partial,No,No,"No",,,,,,,,,
10/27/99,Supian Ependiyev,Male,Russia,Groznensky Rabochy,Russia,Print,Print Reporter,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
10/29/99,Shamil Gigayev,Male,Russia,Nokh Cho TV,Russia,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
10/29/99,Ramzan Mezhidov,Male,Russia,TV Tsentr,Russia,Television,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
11/2/99,Atputharajah Nadarajah,,Sri Lanka,Thinamurusu,,,,,,,,,,,,"",,,,,,,,,
11/5/99,Samson Boyi,Male,Nigeria,The Scope,Nigeria,Print,Photographer,Politics,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
11/28/99,Luis Alberto Rinc—n Solano,,Colombia,Freelancer,,,,,,,,,,,,"",,,,,,,,,
11/28/99,Alberto S‡nchez Tovar,,Colombia,Producciones Colombia,,,,,,,,,,,,"",,,,,,,,,
12/3/99,Nawaz Zulfiqar Memon,,Pakistan,The Nation,,,,,,,,,,,,"",,,,,,,,,
12/4/99,Pablo Emilio Medina Motta,Male,Colombia,TV Garz—n,Colombia,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
12/18/99,Anura Priyantha,Male,Sri Lanka,Independent Television Network,Sri Lanka,Television,Technician,Politics,No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
12/18/99,Indika Pathinivasan,Male,Sri Lanka,Maharaja Television Network,Sri Lanka,Television,Technician,Politics,No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No",,,,,,,,,
12/28/99,Larry Lee,,Guatemala,BridgeNews,,,,,,,,,,,,"",,,,,,,,,
12/31/99,Vasthian Anthony Mariyadas,,Sri Lanka,Freelancer,,,,,,,,,,,,"",,,,,,,,,
1/15/00,Mir Illias Hossain,Male,Bangladesh,Dainik Bir Darpan,Bangladesh,Print,"Columnist, Editor",Politics,No,Local,Political Group,Murder,Yes,No,No,"No",,,,,,,,,
1/26/00,Ahmed Kafi Awale,Male,Somalia,Radio of the Somali People,Somalia,Radio,Broadcast,,No,Local,Criminal Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
2/5/00,Shambhu Patel,,Nepal,Radio Nepal,,,,,,,,,,,,"",,,,,,,,,
2/20/00,Vladimir Yatsina,Male,Russia,ITAR-TASS,Russia,Print,Photographer,War,No,Local,Political Group,Murder,Yes,Yes,No,"Yes",,,,,,,,,
2/24/00,Julio C_sar Da Rosa,Male,Uruguay,Radio del Centro,Uruguay,Radio,,Corruption,No,Local,Government Officials,Murder,Partial,No,No,"No",,,,,,,,,
3/5/00,Mar’a Elena Salinas,,Colombia,Freelancer,,,,,,,,,,,,"",,,,,,,,,
3/13/00,Zezinho Cazuza,Male,Brazil,R‡dio Xing— FM,Brazil,Radio,Broadcast,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
3/18/00,Adhir Rai,,India,Freelancer,,,,,,,,,,,,"",,,,,,,,,
4/3/00,Jean L_opold Dominique,Male,Haiti,Radio Ha•ti Inter,Haiti,Radio,"Columnist, Publisher",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No",,,,,,,,,
4/9/00,Pablo Pineda,,Mexico,La Opini—n,,,,,,,,,,,,"",,,,,,,,,
4/27/00,Roberto Mart’nez,Male,Guatemala,Prensa Libre,Guatemala,Print,Photographer,Human Rights,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
4/28/00,Jos_ Ram’rez Puente,,Mexico,Radio Net,,,,,,,,,,,,"",,,,,,,,,
5/2/00,Sufi Mohammad Khan,Male,Pakistan,Ummat,Pakistan,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No",,,,,,,,,
5/7/00,Jos_ Luis L—pez de la Calle,Male,Spain,El Mundo,Spain,Print,Print Reporter,Politics,No,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
5/8/00,Saoman Conteh,Male,Sierra Leone,New Tablet,Sierra Leone,Print,Print Reporter,Human Rights,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
5/12/00,Aleksandr Yefremov,Male,Russia,Nashe Vremya,Russia,Print,Photographer,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
5/23/00,Vincent Rodriguez,Male,Philippines,DZMM Radio,Philippines,Radio,Broadcast,"Human Rights, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
5/24/00,Kurt Schork,Male,Sierra Leone,Reuters,United States,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
5/24/00,Miguel Gil Moreno de Mora,Male,Sierra Leone,The Associated Press,Spain,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
7/4/00,Marisol Revelo Bar—n,,Colombia,former journalist,,,,,,,,,,,,"",,,,,,,,,
7/16/00,Shamsur Rahman,Male,Bangladesh,Janakantha,Bangladesh,"Print, Radio","Broadcast, Print Reporter",Crime,Yes,Local,Criminal Group,Murder,Yes,No,Yes,"No",,,,,,,,,
7/16/00,Igor Domnikov,Male,Russia,Novaya Gazeta,Russia,Print,"Editor, Print Reporter","Business, Corruption, Culture",No,Local,Criminal Group,Murder,Partial,No,No,"No",,,,,,,,,
7/26/00,Sergey Novikov,,Russia,Radio Vesna,,,,,,,,,,,,"",,,,,,,,,
7/31/00,V. Selvaraj,,India,Nakkeeran,,,,,,,,,,,,"",,,,,,,,,
8/10/00,Pradeep Bhatia,Male,India,The Hindustan Times,India,Print,Photographer,War,No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
8/20/00,Thounaojam Brajamani Singh,,India,Manipur News,,,,,,,,,,,,"",,,,,,,,,
9/9/00,Carlos Jos_ Restrepo Rocha,,Colombia,"TanGente, El D’a",,,,,,,,,,,,"",,,,,,,,,
9/10/00,Shefki Popova,,Yugoslavia,Rilindja,,,,,,,,,,,,"",,,,,,,,,
9/16/00,Georgy Gongadze,Male,Ukraine,Ukrainska Pravda,Ukraine,Internet,Editor,Corruption,No,Local,Government Officials,Murder,Partial,Yes,No,"Yes",,,,,,,,,
9/21/00,Iskandar Khatloni,,Russia, Radio Free Europe/Radio Liberty,,,,,,,,,,,,"",,,,,,,,,
10/3/00,Sergey Ivanov,,Russia,Lada-TV,,,,,,,,,,,,"",,,,,,,,,
10/16/00,Antonio Russo,,Georgia,Radio Radicale,,,,,,,,,,,,"",,,,,,,,,
10/18/00,James Edwin Richards,,USA,Neighborhood News,,,,,,,,,,,,"",,,,,,,,,
10/19/00,Mylvaganam Nimalarajan,Male,Sri Lanka,"BBC, Virakesari, Ravaya",Sri Lanka,"Print, Radio","Broadcast, Print Reporter",Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
10/27/00,Samuel Nduati,,Kenya,Citizen Radio,,,,,,,,,,,,"",,,,,,,,,
10/28/00,Aziz Al-Tineh,,Israel and the Occupied Palestinian Territory, WAFA,,,,,,,,,,,,"",,,,,,,,,
10/31/00,Juan Camilo Restrepo Guerra,Male,Colombia,Radio Galaxia Est_reo,Colombia,Radio,Producer,Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
11/15/00,Gustavo Rafael Ruiz Cantillo,Male,Colombia,Radio Gale—n,Colombia,Radio,Broadcast,"Crime, Politics",No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No",,,,,,,,,
11/17/00,Olimpio Jalapit Jr.,Male,Philippines,DXPR Radio,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No",,,,,,,,,
11/21/00,Adam Tepsurgayev,,Russia,Reuters,,,,,,,,,,,,"",,,,,,,,,
11/22/00,Carlos Cardoso,Male,Mozambique,Metical,Mozambique,Print,Editor,"Business, Corruption, Crime",No,Local,Criminal Group,Murder,No,No,Yes,"No",,,,,,,,,
11/30/00,Yuliy Mazur,,Ukraine,Yug,,,,,,,,,,,,"",,,,,,,,,
11/30/00,Guillermo Le—n Agudelo,,Colombia,La Voz de la Selva,,,,,,,,,,,,"",,,,,,,,,
12/13/00,Alfredo Abad L—pez,Male,Colombia,La Voz de la Selva,Colombia,Radio,Producer,"Corruption, Human Rights, Politics",No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No",,,,,,,,,
12/15/00,G_rard Denoze,,Haiti, Radio Plus,,,,,,,,,,,,"",,,,,,,,,
1/3/01,Roland Ureta,Male,Philippines,Radio DYKR,Philippines,Radio,Broadcast,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,"No",,,,,,,,,
1/5/01,Salvador Medina Vel‡zquez,Male,Paraguay,FM „emity,Paraguay,Radio,Producer,"Corruption, Crime",No,Local,Criminal Group,Murder,Partial,No,No,"No",,,,,,,,,
1/15/01,Feng Zhaoxia,Male,China,Gejie Daobao,China,Print,Print Reporter,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,Yes,Yes,"No",,,,,,,,,
2/19/01,Jos_ Luis Ortega Mata,Male,Mexico,Semanario de Ojinaga,Mexico,Print,Editor,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,"No",,,,,,,,,
2/23/01,Mohammad Yusop,,Philippines,Radio DXID,,,,,,,,,,,,"",,,,,,,,,
3/20/01,Hidaya Sultan al-Salem,,Kuwait,Al-Majales,,,,,,,,,,,,"",,,,,,,,,
3/29/01,Kerem Lawton,Male,Yugoslavia,Associated Press Television News,United Kingdom,Television,Producer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/10/01,Withayut Sangsopit,Male,Thailand,Freelancer,Thailand,Radio,Broadcast,"Business, Corruption",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
4/21/01,Nahar Ali,Male,Bangladesh,Anirban,Bangladesh,Print,Print Reporter,"Business, Corruption, Crime",No,Local,Government Officials,Murder,Yes,Yes,No,"No",,,,,,,,,
4/27/01,Flavio Bedoya,Male,Colombia,Voz,Colombia,Print,Print Reporter,"Human Rights, Politics",No,Local,Paramilitary Group,Murder,Yes,No,No,"No",,,,,,,,,
5/2/01,Kaset Puengpak,Male,Thailand,Thai Rath,Thailand,Print,Print Reporter,"Corruption, Crime",Yes,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
5/30/01,Candelario Cayona,Male,Philippines,Radio DXLL,Philippines,Radio,Columnist,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
5/31/01,Joy Mortel,,Philippines,Mindoro Guardian,,,,,,,,,,,,"",,,,,,,,,
6/11/01,Milan Pantic,Male,Yugoslavia,Vecernje Novosti,Yugoslavia,Print,Print Reporter,"Business, Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No",,,,,,,,,
6/14/01,Fadila Nejma,Male,Algeria,Echourouk,Algeria,Print,Print Reporter,Human Rights,No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
6/14/01,Adel Zerrouk,Male,Algeria,Al-Rai,Algeria,Print,Print Reporter,Human Rights,No,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
6/21/01,Pablo Emilio Parra Casta–eda,,Colombia,Planadas Cultural Est_reo,,,,,,,,,,,,"",,,,,,,,,
6/24/01,Oleh Breus,,Ukraine,XXI Vek,,,,,,,,,,,,"",,,,,,,,,
7/4/01,Arqu’medes Arias Henao,,Colombia,Fresno Est_reo,,,,,,,,,,,,"",,,,,,,,,
7/6/01,Jos_ Duviel V‡squez Arias,Male,Colombia,La Voz de la Selva,Colombia,Radio,"Broadcast, Editor",Corruption,No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No",,,,,,,,,
7/7/01,Igor Aleksandrov,Male,Ukraine,Tor,Ukraine,Television,Producer,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
7/7/01,Parmenio Medina P_rez,Male,Costa Rica,"""La Patada""",Costa Rica,Radio,Producer,Corruption,No,Local,Unknown Fire,Murder,No,No,Yes,"No",,,,,,,,,
7/8/01,Jorge Enrique Urbano S‡nchez,Male,Colombia,Mar Est_reo,Colombia,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No",,,,,,,,,
7/16/01,Eduardo Estrada Guti_rrez,,Colombia,Desarrollo de la Comunicaci—n y la Cultura de San Pablo,,,,,,,,,,,,"",,,,,,,,,
7/17/01,Nicolas Giudici,,France,"Nice-Matin, Corse-Matin",,,,,,,,,,,,"",,,,,,,,,
7/20/01,Ahsan Ali,,Bangladesh,Freelancer,,,,,,,,,,,,"",,,,,,,,,
7/26/01,Georgy Sanaya,Male,Georgia,Rustavi-2,Georgia,Television,Broadcast,"Corruption, Politics",No,Local,Criminal Group,Murder,Partial,No,No,"No",,,,,,,,,
7/29/01,Juan Carlos Encinas,Male,Bolivia,Freelancer,Bolivia,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
7/30/01,Moolchand Yadav,Male,India,Freelance,India,Print,Print Reporter,"Business, Corruption",Yes,Local,Criminal Group,Murder,Yes,No,No,"No",,,,,,,,,
7/31/01,Muhammad al-Bishawi,Male,Israel and the Occupied Palestinian Territory,"Najah Press Office, IslamOnline",Palestinian Territory,"Print, Internet",Print Reporter,Politics,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
8/16/01,M‡rio Coelho de Almeida Filho,,Brazil,A Verdade,,,,,,,,,,,,"",,,,,,,,,
9/1/01,Asadullah,,Pakistan, Freelancer,,,,,,,,,,,,"",,,,,,,,,
9/5/01,Jorge Mynor Alegr’a Armend‡riz,Male,Guatemala,Radio Amatique,Guatemala,Radio,Broadcast,Corruption,No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
9/5/01,Marc Brunereau,Male,Afghanistan,freelance,France,Print,Print Reporter,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
9/11/01,William Biggart,Male,USA,freelance,United States,Print,Photographer,Crime,Yes,Foreign,Political Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
9/18/01,Eduard Markevich,Male,Russia,Novy Reft,Russia,Print,"Editor, Publisher","Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
9/28/01,Martin O'Hagan,Male,UK,Sunday World,United Kingdom,Print,Print Reporter,"Corruption, Crime, War",No,Foreign,Paramilitary Group,Murder,Yes,No,Yes,"No",,,,,,,,,
10/5/01,Robert Stevens,Male,USA,The Sun,United States,Print,Editor,Culture,No,Local,Local Residents,Murder,No,No,No,"No",,,,,,,,,
10/19/01,Bekim Kastrati,,Yugoslavia,Bota Sot,,,,,,,,,,,,"",,,,,,,,,
11/11/01,Pierre Billaud,Male,Afghanistan,Radio T_l_vision Luxembourg,Belgium,Radio,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
11/11/01,Volker Handloik,Male,Afghanistan,freelance reporter,Germany,Print,Print Reporter,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
11/11/01,Johanne Sutton,Female,Afghanistan,Radio France Internationale,France,Radio,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
11/14/01,Heriberto C‡rdenas Escudero,,Colombia,retired radio and newspaper reporter,,,,,,,,,,,,"",,,,,,,,,
11/18/01,Settha Sririwat,,Thailand,"Naew Na, Channel 3",,,,,,,,,,,,"",,,,,,,,,
11/18/01,Chuvit Chueharn,,Thailand,"iTV,  The Nation,  Krungthep Thurakij",,,,,,,,,,,,"",,,,,,,,,
11/18/01,Suchart Charnchanavivat,,Thailand,"Chao Mukdahan, Siam Rath",,,,,,,,,,,,"",,,,,,,,,
11/19/01,Harry Burton,Male,Afghanistan,Reuters Television,Australia,Television,Camera Operator,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,"No",,,,,,,,,
11/19/01,Azizullah Haidari,Male,Afghanistan,Reuters,Afghanistan,Print,Photographer,War,No,Local,Paramilitary Group,Murder,No,Yes,No,"No",,,,,,,,,
11/19/01,Julio Fuentes,Male,Afghanistan,El Mundo,Spain,Print,Print Reporter,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,"No",,,,,,,,,
11/19/01,Maria Grazia Cutuli,Female,Afghanistan,Corriere della Serra,Italy,Print,Print Reporter,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,"No",,,,,,,,,
11/26/01,Ulf Str_mberg,Male,Afghanistan,TV4,Sweden,Television,Camera Operator,War,No,Foreign,Criminal Group,Murder,Yes,No,No,"No",,,,,,,,,
11/28/01,Gundars Matiss,Male,Latvia,Kurzeme Vards,Latvia,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Partial,No,No,"No",,,,,,,,,
12/3/01,Brignol Lindor,Male,Haiti,Radio Echo 2000,Haiti,Radio,"Columnist, Producer","Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
12/23/01,çlvaro Alonso Escobar,,Colombia,La Regi—n,,,,,,,,,,,,"",,,,,,,,,
1/12/02,Jimmy Higenyi,Male,Uganda,United Media Consultants and Trainers,Uganda,Print,Print Reporter,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No",,,,,,,,,
1/23/02,Marco Antonio Ayala C‡rdenas,,Colombia,El Cale–o,,,,,,,,,,,,"",,,,,,,,,
2/1/02,Orlando Sierra Hern‡ndez,Male,Colombia,La Patria,Colombia,Print,"Columnist, Editor",Crime,No,Local,Government Officials,Murder,No,No,Yes,"No",,,,,,,,,
3/2/02,Harunur Rashid,Male,Bangladesh,Dainik Purbanchal,Bangladesh,Print,Print Reporter,"Corruption, Crime",No,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
3/9/02,Natalya Skryl,Female,Russia,Nashe Vremya,Russia,Print,Print Reporter,"Business, Corruption",No,Local,Unknown Fire,Murder,Yes,No,No,"No",,,,,,,,,
3/13/02,Raffaele Ciriello,Male,Israel and the Occupied Palestinian Territory,Freelancer,Italy,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/11/02,Jorge Ibra’n Tortoza Cruz,Male,Venezuela,2001,Venezuela,Print,Photographer,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No",,,,,,,,,
4/12/02,H_ctor Sandoval,Male,Colombia,RCN Televisi—n,Colombia,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/14/02,Paritosh Pandey,,India,Jansatta Express,,,,,,,,,,,,"",,,,,,,,,
4/29/02,Valery Ivanov,Male,Russia,Tolyatinskoye Obozreniye,Russia,Print,Editor,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,"No",,,,,,,,,
5/13/02,Edgar Damalerio,Male,Philippines,Zamboanga Scribe and DXKP Radio,Philippines,"Print, Radio","Columnist, Editor","Corruption, Crime",No,Local,Government Officials,Murder,Partial,No,No,"No",,,,,,,,,
5/27/02,"Krishna Sen, Janadisha",,Nepal,Janadisha,,,,,,,,,,,,"",,,,,,,,,
6/1/02,Nava Raj Sharma,Male,Nepal,Kadam,Nepal,Print,Editor,"Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,,No,"No",,,,,,,,,
6/3/02,Tim Lopes,Male,Brazil,TV Globo,Brazil,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,No,Yes,No,"Yes",,,,,,,,,
6/6/02,Oscar Javier Hoyos Narv‡ez,,Colombia, Radio Sœper,,,,,,,,,,,,"",,,,,,,,,
6/28/02,Efra’n Varela Noriega,Male,Colombia,Radio Meridiano-70,Colombia,Radio,Columnist,Human Rights,No,Local,Paramilitary Group,Murder,Partial,No,Yes,"No",,,,,,,,,
7/5/02,Shukur Hossain,Male,Bangladesh,Anirban,Bangladesh,Print,Print Reporter,"Corruption, Crime",No,Local,Political Group,Murder,Yes,,,"No",,,,,,,,,
7/12/02,Imad Abu Zahra,Male,Israel and the Occupied Palestinian Territory,freelance,Palestinian Territory,Print,Photographer,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
7/12/02,Mario Prada D’az,,Colombia,Horizonte del Magdalena Medio,,,,,,,,,,,,"",,,,,,,,,
8/3/02,Syed Farroque Ahmed,,Bangladesh,Pubali Barta,,,,,,,,,,,,"",,,,,,,,,
8/22/02,Sonny Alcantara,Male,Philippines,"""Quo Vadis San Pablo"" and Kokus",Philippines,"Print, Television","Broadcast, Editor",Corruption,No,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
9/22/02,Issam Tillawi,Male,Israel and the Occupied Palestinian Territory,Voice of Palestine,Palestinian Territory,Radio,Broadcast,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,"No",,,,,,,,,
9/26/02,Roddy Scott,Male,Russia,Frontline,United Kingdom,Television,"Broadcast, Camera Operator",War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
9/30/02,Domingos S‡vio Brand‹o Lima Jœnior,Male,Brazil,Folha do Estado,Brazil,Print,Columnist,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,No,No,No,"No",,,,,,,,,
10/13/02,Yambem Meghajit Singh,,India,Northeast Vision,,,,,,,,,,,,"",,,,,,,,,
10/20/02,Shahid Soomro,Male,Pakistan,Kawish,Pakistan,Print,Print Reporter,Human Rights,No,Local,Government Officials,Murder,Yes,No,No,"No",,,,,,,,,
10/28/02,Jos_ Eli Escalante,,Colombia, La Voz de Cinaruco,,,,,,,,,,,,"",,,,,,,,,
10/30/02,Mykhailo Kolomyets,,Belarus,Ukrainski Novyny,,,,,,,,,,,,"",,,,,,,,,
11/21/02,Ram Chander Chaterpatti,Male,India,Poora Sach,India,Print,Editor,Crime,No,Local,Political Group,Murder,Yes,No,No ,"No",,,,,,,,,
12/1/02,Gimbler Perdomo Zamora,,Colombia,Panorama Est_reo,,,,,,,,,,,,"",,,,,,,,,
12/18/02,William Soto Cheng,,Colombia, Telemar,,,,,,,,,,,,"",,,,,,,,,
12/28/02,Tirgran Nagdalian,,Armenia,Armenia Public Television,,,,,,,,,,,,"",,,,,,,,,
1/21/03,Fazal Wahab,Male,Pakistan,freelance,Pakistan,Print,"Columnist, Print Reporter",Politics,Yes,Local,Political Group,Murder,Yes,No,Yes,"No",,,,,,,,,
1/24/03,Abdullahi Madkeer,Male,Somalia,DMC Radio,Somalia,Radio,Broadcast,Politics,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,"No",,,,,,,,,
1/30/03,Dhan Bahadur Rokka Magar,Male,Nepal,Radio Nepal,Nepal,Radio,Broadcast,,No,Local,Political Group,Murder,Yes,Yes,No,"No",,,,,,,,,
1/31/03,Parvaz Mohammed Sultan,Male,India,News and Feature Alliance,India,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No",,,,,,,,,
2/11/03,Surapong Ritthi,,Thailand, freelance,,,,,,,,,,,,"",,,,,,,,,
3/10/03,Oscar Salazar Jaramillo,,Colombia,Radio Sevilla,,,,,,,,,,,,"",,,,,,,,,
3/18/03,Luis Eduardo Alfonso Parada,Male,Colombia,Radio Meridiano-70,Colombia,"Print, Radio","Broadcast, Print Reporter","Corruption, Human Rights, Politics, War",No,Local,Paramilitary Group,Murder,Yes,No,Yes,"No",,,,,,,,,
3/22/03,Paul Moran,Male,Iraq,freelance,Australia,Television,Camera Operator,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
3/22/03,Terry Lloyd,Male,Iraq,ITV News,United Kingdom,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
3/22/03,Hussein Othman,,Iraq,ITV News,Iraq,,,,,,,,,,,"",,,,,,,,,
4/2/03,Kaveh Golestan,Male,Iraq,freelance,Iran,Television,Camera Operator,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/3/03,Michael Kelly,Male,Iraq,Atlantic Monthly and The Washington Post,United States,Print,"Columnist, Editor",War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/6/03,Jos_ Emeterio Rivas,Male,Colombia,Radio Calor Est_reo,Colombia,Radio,Columnist,"Corruption, Politics",No,Local,"Government Officials, Paramilitary Group",Murder,No,No,Yes,"No",,,,,,,,,
4/6/03,Kamaran Abdurazaq Muhamed,,Iraq,BBC,Iraqi,,,,,,,,,,,"",,,,,,,,,
4/7/03,Christian Liebig,Male,Iraq,Focus,Germany,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/7/03,Julio Anguita Parrado,Male,Iraq,El Mundo,Spain,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/8/03,Taras Protsyuk,Male,Iraq,Reuters,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/8/03,Jos_ Couso,Male,Iraq,Telecinco,Spain,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/8/03,Tareq Ayyoub,Male,Iraq,Al-Jazeera,Jordan,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/18/03,Dmitry Shvets,,Russia, TV-21 Northwestern Broadcasting,,,,,,,,,,,,"",,,,,,,,,
4/19/03,Nazih Darwazeh,Male,Israel and the Occupied Palestinian Territory,APTN,Israel Occupied,Television,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No",,,,,,,,,
4/28/03,Guillermo Bravo Vega,Male,Colombia,Alpevisi—n Radio,Colombia,Radio,Broadcast,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
4/29/03,Jaime Rengifo Revero,Male,Colombia,Ol’mpica Radio,Colombia,Radio,Broadcast,"Corruption, Human Rights",No,Local,Government Officials,Murder,Yes,No,Yes,"No",,,,,,,,,
